,0,1
0,326.1,122095.0
1,339.9,111771.0
2,351.1,60817.0
3,354.1,94638.0
4,358.3,69098.0
5,361.3,96982.0
6,368.0,80302.0
7,382.3,50097.0
8,395.9,92585.0
9,414.5,53422.0
10,419.8,31275.0
11,436.2,72376.0
12,440.3,105213.0
13,442.3,65712.0
14,447.4,50161.0
15,453.1,45756.0
16,457.0,35569.0
17,458.4,301294.0
18,459.2,55526.0
19,465.2,66318.0
20,467.1,139167.0
21,473.3,110864.0
22,475.5,172539.0
23,477.3,27454.0
24,486.2,43478.0
25,491.7,19983.0
26,493.5,73178.0
27,494.1,56540.0
28,499.0,64971.0
29,506.1,45588.0
30,510.2,54341.0
31,512.0,76225.0
32,515.1,27438.0
33,520.4,53385.0
34,522.2,51700.0
35,529.4,60836.0
36,531.0,24524.0
37,540.1,44815.0
38,544.1,43420.0
39,546.4,215804.0
40,548.2,51372.0
41,554.0,143092.0
42,555.2,60423.0
43,556.5,38914.0
44,557.3,81474.0
45,564.2,173913.0
46,564.3,79074.0
47,565.4,88793.0
48,566.3,147328.0
49,567.1,30076.0
50,582.1,125159.0
51,582.7,109298.0
52,583.4,38742.0
53,599.1,63273.0
54,605.5,41375.0
55,613.2,73690.0
56,617.5,45434.0
57,623.1,35836.0
58,625.9,56543.0
59,634.4,74273.0
60,642.2,77360.0
61,646.3,58459.0
62,659.2,76760.0
63,661.9,47952.0
64,679.9,67439.0
65,684.9,85950.0
66,688.5,79347.0
67,694.2,50504.0
68,696.4,367308.0
69,697.6,111032.0
70,705.5,104236.0
71,712.2,58222.0
72,714.2,73175.0
73,722.5,232657.0
74,729.9,135740.0
75,739.3,326151.0
76,746.5,66717.0
77,756.5,981763.0
78,757.5,410536.0
79,758.5,23965.0
80,763.0,46178.0
81,775.3,30680.0
82,781.6,69481.0
83,794.6,68750.0
84,799.4,88883.0
85,814.2,39893.0
86,819.7,25447.0
87,823.3,47790.0
88,826.0,28343.0
89,827.3,116169.0
90,834.3,39037.0
91,843.5,112391.0
92,844.6,136926.0
93,858.7,79794.0
94,862.6,29511.0
95,867.5,31673.0
96,869.3,35571.0
97,872.2,63264.0
98,879.7,55058.0
99,885.8,1078052.0
100,887.5,495926.0
101,895.5,83799.0
102,902.7,95492.0
103,902.8,206175.0
104,903.5,30389248.0
105,903.6,28900096.0
106,904.5,11919616.0
107,904.6,10542080.0
108,905.5,4662656.0
109,915.3,46839.0
110,954.6,55270.0
111,956.0,45890.0
112,956.8,96771.0
113,957.2,196543.0
114,958.3,34320.0
115,958.4,67905.0
116,960.0,88021.0
117,960.7,139949.0
118,964.9,81616.0
119,967.2,38213.0
120,973.2,36065.0
121,974.4,34597.0
122,975.8,264639.0
123,976.6,51444.0
124,977.4,132478.0
125,983.7,49895.0
126,984.4,501645.0
127,426.9,838.2
128,456.5,562.0
129,373.1,792.1
130,336.6,712.2
131,650.0,818.7
132,663.8,773.9
133,646.2,478.8
134,541.5,689.7
135,958.2,366.5
136,959.0,860.3
137,678.4,706.5
138,587.9,593.0
139,543.3,896.4
140,869.7,674.5
141,402.1,413.6
142,575.7,884.7
143,456.9,669.9
144,965.2,967.7
145,945.8,882.3
146,834.9,634.1
147,942.8,640.8
148,946.2,883.4
149,909.9,618.8
150,818.1,618.1
151,559.6,729.1
152,901.2,964.7
153,446.4,872.5
154,900.4,484.4
155,593.3,462.0
156,507.7,682.7
157,833.3,781.3
158,680.4,913.0
159,859.1,805.3
160,723.9,620.5
161,783.7,609.2
162,816.8,341.3
163,355.7,761.4
164,903.4,606.7
165,563.3,654.4
166,736.1,832.2
167,597.1,372.5
168,662.6,373.2
169,607.9,946.6
170,808.0,442.4
171,716.5,488.9
172,337.0,815.7
173,449.6,886.4
174,448.6,798.1
175,719.4,739.0
176,395.0,535.1
177,456.4,361.6
178,673.7,528.7
179,737.6,978.6
180,508.1,671.7
181,350.3,809.0
182,541.0,347.4
183,603.4,431.6
184,428.8,357.7
185,965.4,964.5
186,966.0,970.7
187,384.4,845.8
188,908.9,597.8
189,394.5,835.9
190,606.2,628.4
191,588.2,565.0
192,406.8,734.6
193,939.8,799.6
194,722.0,441.4
195,494.2,972.4
196,545.1,868.9
197,794.7,520.6
198,583.2,497.2
199,949.7,461.3
200,731.5,538.3
201,368.9,635.4
202,736.3,488.0
203,720.9,685.8
204,920.0,341.0
205,721.9,763.5
206,723.1,569.2
207,940.5,431.0
208,428.5,403.6
209,501.5,692.6
210,330.1,387.2
