	0	1
0	326.1	122095.0
1	339.9	111771.0
2	351.1	60817.0
3	354.1	94638.0
4	358.3	69098.0
5	361.3	96982.0
6	368.0	80302.0
7	382.3	50097.0
8	395.9	92585.0
9	414.5	53422.0
10	419.8	31275.0
11	436.2	72376.0
12	440.3	105213.0
13	442.3	65712.0
14	447.4	50161.0
15	453.1	45756.0
16	457.0	35569.0
17	458.4	301294.0
18	459.2	55526.0
19	465.2	66318.0
20	467.1	139167.0
21	473.3	110864.0
22	475.5	172539.0
23	477.3	27454.0
24	486.2	43478.0
25	491.7	19983.0
26	493.5	73178.0
27	494.1	56540.0
28	499.0	64971.0
29	506.1	45588.0
30	510.2	54341.0
31	512.0	76225.0
32	515.1	27438.0
33	520.4	53385.0
34	522.2	51700.0
35	529.4	60836.0
36	531.0	24524.0
37	540.1	44815.0
38	544.1	43420.0
39	546.4	215804.0
40	548.2	51372.0
41	554.0	143092.0
42	555.2	60423.0
43	556.5	38914.0
44	557.3	81474.0
45	564.2	173913.0
46	564.3	79074.0
47	565.4	88793.0
48	566.3	147328.0
49	567.1	30076.0
50	582.1	125159.0
51	582.7	109298.0
52	583.4	38742.0
53	599.1	63273.0
54	605.5	41375.0
55	613.2	73690.0
56	617.5	45434.0
57	623.1	35836.0
58	625.9	56543.0
59	634.4	74273.0
60	642.2	77360.0
61	646.3	58459.0
62	659.2	76760.0
63	661.9	47952.0
64	679.9	67439.0
65	684.9	85950.0
66	688.5	79347.0
67	694.2	50504.0
68	696.4	367308.0
69	697.6	111032.0
70	705.5	104236.0
71	712.2	58222.0
72	714.2	73175.0
73	722.5	232657.0
74	729.9	135740.0
75	739.3	326151.0
76	746.5	66717.0
77	756.5	981763.0
78	757.5	410536.0
79	758.5	23965.0
80	763.0	46178.0
81	775.3	30680.0
82	781.6	69481.0
83	794.6	68750.0
84	799.4	88883.0
85	814.2	39893.0
86	819.7	25447.0
87	823.3	47790.0
88	826.0	28343.0
89	827.3	116169.0
90	834.3	39037.0
91	843.5	112391.0
92	844.6	136926.0
93	858.7	79794.0
94	862.6	29511.0
95	867.5	31673.0
96	869.3	35571.0
97	872.2	63264.0
98	879.7	55058.0
99	885.8	1078052.0
100	887.5	495926.0
101	895.5	83799.0
102	902.7	95492.0
103	902.8	206175.0
104	903.5	30389248.0
105	903.6	28900096.0
106	904.5	11919616.0
107	904.6	10542080.0
108	905.5	4662656.0
109	915.3	46839.0
110	954.6	55270.0
111	956.0	45890.0
112	956.8	96771.0
113	957.2	196543.0
114	958.3	34320.0
115	958.4	67905.0
116	960.0	88021.0
117	960.7	139949.0
118	964.9	81616.0
119	967.2	38213.0
120	973.2	36065.0
121	974.4	34597.0
122	975.8	264639.0
123	976.6	51444.0
124	977.4	132478.0
125	983.7	49895.0
126	984.4	501645.0
127	797.5	15446813.0
128	645.9	314033.0
129	381.2	5124478.0
130	511.1	20239845.0
131	485.5	29740917.0
132	328.4	24884362.0
133	812.1	26397320.0
134	723.0	18045842.0
135	874.8	14636863.0
136	795.8	13434411.0
137	897.7	1068655.0
138	675.8	1011213.0
139	543.3	17867133.0
140	729.5	16783187.0
141	837.6	6744628.0
142	635.7	27738045.0
143	403.3	12165675.0
144	542.1	8357493.0
145	361.8	10552444.0
146	382.7	7867292.0
147	337.6	23612994.0
148	925.3	1523691.0
149	334.4	24526857.0
150	453.0	5074335.0
151	901.5	27905862.0
152	656.6	21429844.0
153	534.0	14288344.0
154	515.3	3955043.0
155	787.7	25764808.0
156	974.2	11247643.0
157	564.6	16019945.0
158	832.5	4979675.0
159	415.3	30065023.0
160	895.5	368302.0
161	793.9	7587779.0
162	435.1	3598856.0
163	709.0	11632992.0
164	360.8	5739179.0
165	909.5	15498824.0
166	384.4	9327529.0
167	595.6	6749836.0
168	964.3	27853718.0
169	532.7	5656672.0
170	744.2	11328027.0
171	697.2	1195422.0
172	793.6	18458945.0
173	750.1	6608040.0
174	471.0	29356884.0
175	441.8	15438985.0
176	522.4	18914404.0
177	600.6	16200437.0
178	439.3	4608862.0
179	789.2	20854654.0
180	443.6	10589796.0
181	333.8	9880713.0
182	417.7	29372150.0
183	391.7	22749419.0
184	683.0	13585099.0
185	965.9	18635098.0
186	670.7	18935550.0
187	961.2	9298744.0
188	329.3	6531555.0
189	759.6	29477035.0
190	437.9	1273231.0
191	867.7	13324757.0
192	370.4	21816814.0
193	804.7	25309788.0
194	438.7	8104826.0
195	525.1	20385904.0
196	635.6	5717998.0
197	825.3	17629298.0
198	915.1	27893797.0
199	599.3	26834174.0
200	831.3	17652219.0
201	465.3	18012776.0
202	532.1	6350901.0
203	706.6	28513174.0
204	628.5	17632857.0
205	834.9	462002.0
206	367.3	7819840.0
207	519.2	23377099.0
208	530.9	6260045.0
209	326.9	8820306.0
210	332.4	1035664.0
211	978.9	25929584.0
212	893.3	5154815.0
213	695.8	29509393.0
214	904.4	12091972.0
215	906.7	15848686.0
216	779.1	25205738.0
217	515.6	20499014.0
218	718.5	8625220.0
219	707.2	25925291.0
220	744.5	256008.0
221	540.5	16300727.0
222	614.7	6765267.0
223	915.7	22352453.0
224	575.6	7921974.0
225	850.7	2957748.0
226	556.4	2711084.0
227	421.9	25472443.0
228	760.9	25576518.0
229	366.7	5846733.0
230	483.0	16374586.0
231	483.6	26169673.0
232	697.3	16601232.0
233	396.2	19675106.0
234	443.4	29614489.0
